market,timestamp,opening_price,high_price,low_price,trade_price,candle_acc_trade_price,candle_acc_trade_volume
KRW-BTC,2021-01-01T00:00:00,32037000.0,32120000.0,31819000.0,32090000.0,8791108881.58709,274.82123379
KRW-BTC,2021-01-01T01:00:00,32072000.0,32490000.0,32063000.0,32483000.0,25097607942.12246,775.86272529
KRW-BTC,2021-01-01T02:00:00,32483000.0,32495000.0,32210000.0,32240000.0,14538119658.48971,449.28946961
KRW-BTC,2021-01-01T03:00:00,32238000.0,32368000.0,32215000.0,32308000.0,6439452540.7311,199.48020142
KRW-BTC,2021-01-01T04:00:00,32308000.0,32373000.0,32104000.0,32266000.0,8835138754.88659,273.87067183
KRW-BTC,2021-01-01T05:00:00,32261000.0,32266000.0,32143000.0,32256000.0,4609662678.34436,143.13063353
KRW-BTC,2021-01-01T06:00:00,32256000.0,32330000.0,32210000.0,32250000.0,3932348895.9528,121.90565301
KRW-BTC,2021-01-01T07:00:00,32251000.0,32280000.0,32077000.0,32174000.0,7324012738.5918,227.71960088
KRW-BTC,2021-01-01T08:00:00,32174000.0,32257000.0,31970000.0,32172000.0,11415317749.16112,355.53643227
KRW-BTC,2021-01-01T09:00:00,32173000.0,32400000.0,32148000.0,32288000.0,7762721946.5223,240.25852197
KRW-BTC,2021-01-01T10:00:00,32288000.0,32441000.0,32270000.0,32300000.0,6267897135.58655,193.71785293
KRW-BTC,2021-01-01T11:00:00,32300000.0,32448000.0,32293000.0,32358000.0,7042874365.54319,217.58449721
KRW-BTC,2021-01-01T12:00:00,32366000.0,32599000.0,32276000.0,32345000.0,19181463205.90536,591.14752885
KRW-BTC,2021-01-01T13:00:00,32345000.0,32446000.0,32324000.0,32432000.0,7924068575.65586,244.60184555
KRW-BTC,2021-01-01T14:00:00,32432000.0,32459000.0,32198000.0,32235000.0,8738776891.18991,270.19855139
KRW-BTC,2021-01-01T15:00:00,32235000.0,32316000.0,32016000.0,32117000.0,8283724760.34472,257.61187579
KRW-BTC,2021-01-01T16:00:00,32117000.0,32267000.0,32080000.0,32176000.0,3797430069.68511,118.02449877
KRW-BTC,2021-01-01T17:00:00,32196000.0,32264000.0,31955000.0,32091000.0,4510227365.80832,140.52360808
KRW-BTC,2021-01-01T18:00:00,32091000.0,32261000.0,31800000.0,32137000.0,9964826692.13149,311.18831353
KRW-BTC,2021-01-01T19:00:00,32160000.0,32220000.0,32068000.0,32141000.0,2314953936.10546,71.98685548
KRW-BTC,2021-01-01T20:00:00,32141000.0,32340000.0,32008000.0,32319000.0,2006063860.93243,62.21890522
KRW-BTC,2021-01-01T21:00:00,32317000.0,32341000.0,32257000.0,32273000.0,1001372812.81225,31.00858083
KRW-BTC,2021-01-01T22:00:00,32275000.0,32331000.0,32197000.0,32252000.0,3235964898.55371,100.28026095
KRW-BTC,2021-01-01T23:00:00,32232000.0,32310000.0,32210000.0,32296000.0,2598773728.98135,80.52589741
KRW-BTC,2021-01-02T00:00:00,32295000.0,32296000.0,31920000.0,32221000.0,12139020078.39644,377.87584376
KRW-BTC,2021-01-02T01:00:00,32224000.0,32467000.0,32213000.0,32450000.0,8631071101.47024,266.81326897
KRW-BTC,2021-01-02T02:00:00,32450000.0,32499000.0,32371000.0,32426000.0,5514987006.59687,169.97699418
KRW-BTC,2021-01-02T03:00:00,32425000.0,32426000.0,32288000.0,32334000.0,3722262457.57469,115.08199234
KRW-BTC,2021-01-02T04:00:00,32335000.0,32400000.0,32285000.0,32357000.0,3217481037.07937,99.47916461
KRW-BTC,2021-01-02T05:00:00,32357000.0,32499000.0,32326000.0,32499000.0,5053559506.84335,155.74587797
KRW-BTC,2021-01-02T06:00:00,32499000.0,32890000.0,32392000.0,32830000.0,24432614899.5823,747.11408443
KRW-BTC,2021-01-02T07:00:00,32830000.0,32976000.0,32735000.0,32928000.0,11189720922.72134,340.59655162
KRW-BTC,2021-01-02T08:00:00,32928000.0,32994000.0,32857000.0,32993000.0,11577450311.46527,351.34607637
KRW-BTC,2021-01-02T09:00:00,32993000.0,32998000.0,32696000.0,32747000.0,14896447842.47391,453.29097329
KRW-BTC,2021-01-02T10:00:00,32747000.0,32942000.0,32650000.0,32807000.0,7869573586.72328,239.94485886
KRW-BTC,2021-01-02T11:00:00,32807000.0,32890000.0,32770000.0,32873000.0,4362718222.13389,132.83932701
KRW-BTC,2021-01-02T12:00:00,32873000.0,33887000.0,32863000.0,33660000.0,63098791114.67198,1887.33803249
KRW-BTC,2021-01-02T13:00:00,33660000.0,34699000.0,33600000.0,34652000.0,64562937772.42926,1887.44700986
KRW-BTC,2021-01-02T14:00:00,34652000.0,34700000.0,34000000.0,34366000.0,38812519906.93542,1130.56855748
KRW-BTC,2021-01-02T15:00:00,34366000.0,35001000.0,34302000.0,34960000.0,29114813018.18078,838.32752574
