hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-01-01 00:00:00.000 UTC,50808740.46362581,908,2715300.0558638345,14650921.583733082,311,523052.3528789082,1622159.5648036546,252,0.0,0.0,0
2024-01-01 01:00:00.000 UTC,9533248.55388691,208,1339521.9458077494,2260297.2430370497,86,70885.23700631021,136399.12860102847,48,0.0,0.0,0
2024-01-01 02:00:00.000 UTC,31020766.368276667,191,25667838.92093029,25839423.373134904,104,93864.56096191405,149777.03550916282,45,0.0,990787.99,1
2024-01-01 03:00:00.000 UTC,36539968.345905095,311,19052561.24398936,21786752.07812792,159,241655.86746377771,314698.296425441,71,1995.0466,1995.0,2
2024-01-01 04:00:00.000 UTC,14105243.26786916,205,5166813.651590906,6190260.86663533,80,85566.14786184432,90360.96190807996,40,0.0,0.0,0
2024-01-01 05:00:00.000 UTC,5662353.649336273,173,1310887.9735603072,2029865.77175321,71,102987.31546950304,153130.71940438656,69,0.0,0.0,0
2024-01-01 06:00:00.000 UTC,8047548.825117164,200,3788879.6185065936,4120758.3633150174,114,130291.06342768994,51632.81205171919,35,0.0,0.0,0
2024-01-01 07:00:00.000 UTC,5463446.043617945,155,1364718.6854417657,2224129.77872596,62,137030.99293530016,151730.10158048754,47,0.0,0.0,0
2024-01-01 08:00:00.000 UTC,5285219.260476708,130,800545.7201563797,825794.47630415,53,72755.69979882946,230133.47271481933,47,0.0,0.0,0
2024-01-01 09:00:00.000 UTC,9169588.485814314,108,4493141.792100763,4518346.2206037305,48,31193.1091150141,10851.367020006786,20,0.0,0.0,0
2024-01-01 10:00:00.000 UTC,14100375.541494817,131,4048653.416380449,2114110.6058642413,48,91985.67149990505,18238.440861114854,16,0.0,0.0,0
2024-01-01 11:00:00.000 UTC,11282978.879144536,165,2059224.3106629737,1657124.91195893,51,803072.9847971871,767847.5352478952,44,0.0,0.0,0
2024-01-01 12:00:00.000 UTC,27947999.001964413,599,5752285.524694738,6528083.614431972,78,1496783.0612666295,1449283.473668794,316,0.0,0.0,0
2024-01-01 13:00:00.000 UTC,21468076.71025284,161,4009413.535319685,2975524.2564656814,65,1679157.801843521,1737602.5358929806,27,0.0,0.0,0
2024-01-01 14:00:00.000 UTC,7256413.728949365,101,1753458.5304693142,1962109.38655796,50,562968.5388367104,476093.4827579276,30,0.0,0.0,0
2024-01-01 15:00:00.000 UTC,7657855.198265081,105,805419.24746374,938132.3719176071,45,134280.2363660728,125611.6657181741,15,0.0,0.0,0
2024-01-01 16:00:00.000 UTC,42809294.68441386,104,40819326.2526888,40811471.55511898,41,61796.66488783687,100276.8160495794,22,0.0,0.0,0
2024-01-01 17:00:00.000 UTC,6782450.061864397,72,5935090.595185436,4997928.354245961,29,55318.42919890277,1680.3936726276977,6,0.0,0.0,0
2024-01-01 18:00:00.000 UTC,2784971.047559158,38,2136948.29834233,1402762.22732496,15,16641.79288696717,17975.069280387987,4,0.0,0.0,0
2024-01-01 19:00:00.000 UTC,1201381.37167157,55,507340.61598519,91684.34234263,11,25761.07859576796,2524.660764973049,9,0.0,0.0,0
2024-01-01 20:00:00.000 UTC,2818653.238811218,63,1594064.2331286003,1022612.78187012,39,38481.86402277158,7843.179528411914,15,0.0,0.0,0
2024-01-01 21:00:00.000 UTC,6451782.554916127,73,1315531.44405352,760485.7202597299,18,54087.67841868575,13433.384239888026,25,0.0,0.0,0
2024-01-01 22:00:00.000 UTC,2734113.124620197,67,1061163.852352479,1143597.5816518802,18,73176.8436216722,111351.71506892324,33,0.0,0.0,0
