hour,total_volume,total_tx_count,cex_inflow,cex_outflow,cex_tx_count,dex_inflow,dex_outflow,dex_tx_count,inst_inflow,inst_outflow,inst_tx_count
2024-01-01 00:00:00.000 UTC,11282.486162441965,66,1065.55548469,3686.61637547,27,1985.0726112256907,3720.455054980048,22,0.0,0.0,0
2024-01-01 01:00:00.000 UTC,7503.574677280632,41,2426.8450000000003,89.01971452726659,6,1956.2395895842117,3199.6505200695287,29,0.0,0.0,0
2024-01-01 02:00:00.000 UTC,4473.780310872209,47,2233.93943695,1688.1497482899997,15,1390.6751357101364,305.07070128542966,22,0.0,0.0,0
2024-01-01 03:00:00.000 UTC,66965.30229054875,41,25008.045278951988,15054.556960325275,13,1237.8741090083226,0.7597434165709412,17,0.0,0.0,0
2024-01-01 04:00:00.000 UTC,8273.104021318308,60,849.7728882600001,1386.2130271,20,2278.672718033544,1812.060938537101,33,0.0,0.0,0
2024-01-01 05:00:00.000 UTC,8220.491573077607,50,2344.9796032155746,462.898463153154,15,1739.3853869954444,1321.2900252679185,23,0.0,0.0,0
2024-01-01 06:00:00.000 UTC,1727.6998608804763,32,85.681,124.69536752,4,136.64586208264183,1118.7943267357998,14,0.0,0.0,0
2024-01-01 07:00:00.000 UTC,24827.436359251784,35,21808.716066590005,22908.352178380326,14,251.03090330487717,388.1763077919025,12,0.0,0.0,0
2024-01-01 08:00:00.000 UTC,8777.741922385998,55,2418.913877589211,2255.221064879211,11,1305.9677629554333,1748.4840719750646,25,0.0,0.0,0
2024-01-01 09:00:00.000 UTC,4922.506627972058,40,2425.751481081468,1575.70576863,14,448.6934944433852,27.965562630968428,12,0.0,0.0,0
2024-01-01 10:00:00.000 UTC,6546.930901762488,38,2678.03144103327,338.95346208,13,376.39019520366384,389.304873760522,8,0.0,0.0,0
2024-01-01 11:00:00.000 UTC,2526.26758530752,36,299.64602478,318.4564704400001,11,270.4466342948446,550.6228846450065,9,0.0,0.0,0
2024-01-01 12:00:00.000 UTC,5907.6388315266295,50,1985.28629932,1408.63377872,11,53.53935473147707,2276.784921979407,25,0.0,0.0,0
2024-01-01 13:00:00.000 UTC,5376.410841728503,37,1037.987966677204,801.771,8,1639.3716911697347,999.3501878480258,20,0.0,0.0,0
2024-01-01 14:00:00.000 UTC,2937.383226161387,62,238.01648122,246.52913518,14,1135.384753002529,1012.1274207766364,21,0.0,0.0,0
2024-01-01 15:00:00.000 UTC,6657.184690384741,66,200.0,275.77230777,7,1957.3301404457236,3481.424621319699,46,0.0,0.0,0
2024-01-01 16:00:00.000 UTC,19390.6919268317,59,10509.37162040002,3188.697058881154,21,1317.6170245910414,1739.7930651294298,21,0.0,0.0,0
2024-01-01 17:00:00.000 UTC,8321.387128506443,53,1467.88399502,3439.90273477,18,1406.4541737993625,1809.2576355768397,20,0.0,0.0,0
2024-01-01 18:00:00.000 UTC,5816.564278431531,55,1372.8671249023294,528.2874802000001,18,1334.54685523422,1963.9635102214231,21,0.0,0.0,0
2024-01-01 19:00:00.000 UTC,8494.65739620688,55,2523.52994593,2702.47817766,18,1684.7842159781935,1283.3004976211362,21,0.0,0.0,0
2024-01-01 20:00:00.000 UTC,6912.87557484154,73,936.5577648396288,1991.246004082688,27,1361.0086430294537,1590.6126994865424,20,0.0,0.0,0
2024-01-01 21:00:00.000 UTC,5193.261200477847,69,1754.0721106727897,1484.949563,25,1379.3801763532156,1027.0742645107491,23,0.0,0.0,0
2024-01-01 22:00:00.000 UTC,14347.70954089874,74,4609.182235391505,2314.3449940517803,21,804.848576803106,2602.5197499345218,26,0.0,0.0,0
2024-01-01 23:00:00.000 UTC,10352.201369130087,51,3258.84810438,3519.6166149168143,17,900.0701853695955,2151.817244898812,21,0.0,0.0,0
2024-01-02 00:00:00.000 UTC,28254.167521741005,96,2914.37470321,5181.065886990001,25,4607.267837616907,4164.394433986348,48,2638.86314443,7254.26380665,3
2024-01-02 01:00:00.000 UTC,43591.54785183497,161,9351.460847770017,14015.396484128603,57,4478.556113168564,8557.248268171737,74,999.93674319,900.0,2
2024-01-02 02:00:00.000 UTC,24006.691088381747,87,5512.45954358,6394.43736333074,30,4647.464686061447,3481.110220671952,32,0.0,0.0,0
