hour,cex_inflow_usd,cex_outflow_usd,cex_tx_count,inst_inflow_usd,inst_outflow_usd,inst_tx_count,stable_inflow_usd,stable_outflow_usd,stable_tx_count
2024-01-01 00:00:00.000 UTC,270948820.5956303,290981743.93470776,12188,4293.504730840377,5708153.430345463,8,227976506.56624642,239641509.63336968,3021
2024-01-01 01:00:00.000 UTC,73349327.05320024,79517126.93494129,9186,1819.2491233074868,529363.9079819425,11,36937417.766529314,43612615.32850545,2142
2024-01-01 02:00:00.000 UTC,222486291.63483837,227431902.7654675,7586,672.0713578583386,6478235.841132402,8,117725080.95002288,139940215.03430632,1604
2024-01-01 03:00:00.000 UTC,417120236.4777497,285518904.58191013,7754,45327.49675506505,14530677.486793201,8,184443505.68724176,145188078.4815719,1351
2024-01-01 04:00:00.000 UTC,154695981.52628008,214555853.02037898,7803,51.53080831558103,74.02361836741434,5,120397169.4878878,170252128.52953932,1698
2024-01-01 05:00:00.000 UTC,143693337.53279778,217109522.42179108,6895,0.0,13017465.75,5,94344671.27211176,143749231.64305606,1743
2024-01-01 06:00:00.000 UTC,96731660.1160424,125047644.69019233,7832,342.7783023009699,74935.27804587153,3,51155239.95457844,85825630.81010428,1537
2024-01-01 07:00:00.000 UTC,52167697.65986482,53426529.75681493,9487,1023.2297822728624,1252173.9278755614,6,18799679.092886414,22949066.552819446,2455
2024-01-01 08:00:00.000 UTC,76790305.00938483,109822851.14366873,8188,0.0,751023.1698998278,2,45499644.22642799,74533537.68424495,1673
2024-01-01 09:00:00.000 UTC,82731775.83531739,85686853.61205189,6954,6106.070543250002,1123.172387516667,3,15857117.628779117,19199962.37024891,1689
2024-01-01 10:00:00.000 UTC,80918093.01701407,81796412.39741687,7421,1136.2341207672416,482.0435122121884,3,41395833.56160803,48271390.8321728,1716
2024-01-01 11:00:00.000 UTC,108047108.7739576,105191922.40942088,8159,0.0,3380.1213952754047,5,48955822.51069408,44814027.843272924,1829
2024-01-01 12:00:00.000 UTC,107246340.22450185,81251674.62515523,7703,355632.21685897646,440141.3717008857,17,30216325.79478274,27713122.966205176,1833
2024-01-01 13:00:00.000 UTC,96979202.8502228,105204458.25798322,8588,10335091.66154456,11085007.81470681,15,24710272.614174847,30298967.347248986,2215
2024-01-01 14:00:00.000 UTC,162993840.40012324,134628942.60546216,9072,30036857.500000004,31469927.216285173,5,96515934.07454816,62003799.4986672,2161
2024-01-01 15:00:00.000 UTC,111507309.6257553,190196002.09178975,10045,44428940.82674543,27545121.5717595,12,35737188.40883107,112475300.13678402,2245
2024-01-01 16:00:00.000 UTC,321122459.04522896,297328665.35578746,9921,112576228.55822515,102783137.7029748,31,152504385.6775973,165053778.2604472,2250
2024-01-01 17:00:00.000 UTC,311338212.68922114,270331574.9950464,10424,31960447.93343375,28334131.663057715,23,229226780.60217592,190243172.70218447,2307
2024-01-01 18:00:00.000 UTC,161968058.07134038,156768158.8385153,10456,46713.147988239165,1276076.1051465862,11,103525012.33223774,78535226.69893704,2434
2024-01-01 19:00:00.000 UTC,102309314.91349228,85124228.46448582,10380,0.378595528,8422.55312820646,15,55646003.885466404,38592386.34349719,2411
2024-01-01 20:00:00.000 UTC,106830032.80456962,85945343.78206077,12185,0.0,197419.61558783645,10,64235677.72163626,43998788.4633347,2420
